id,input_word,correct_word,reversal_type
1,no,on,full_reversal
2,drwaer,drawer,internal_reversal
3,drwaer,drawer,internal_reversal
4,god,dog,full_reversal
5,on,no,full_reversal
6,setp,step,internal_reversal
7,reward,drawer,full_reversal
8,setp,step,internal_reversal
9,no,on,full_reversal
10,dog,god,full_reversal
11,loop,pool,full_reversal
12,was,saw,full_reversal
13,pat,tap,full_reversal
14,pets,step,full_reversal
15,tap,pat,full_reversal
16,no,on,full_reversal
17,draewr,drawer,internal_reversal
18,step,pets,full_reversal
19,god,dog,full_reversal
20,dog,god,full_reversal
21,on,no,full_reversal
22,no,on,full_reversal
23,drawre,drawer,internal_reversal
24,pets,step,full_reversal
25,pets,step,full_reversal
26,pool,loop,full_reversal
27,pat,tap,full_reversal
28,pets,step,full_reversal
29,pool,loop,full_reversal
30,loop,pool,full_reversal
31,pat,tap,full_reversal
32,was,saw,full_reversal
33,pets,step,full_reversal
34,pat,tap,full_reversal
35,tap,pat,full_reversal
36,drwaer,drawer,internal_reversal
37,rweard,reward,internal_reversal
38,pest,pets,internal_reversal
39,setp,step,internal_reversal
40,was,saw,full_reversal
41,pat,tap,full_reversal
42,reward,drawer,full_reversal
43,tap,pat,full_reversal
44,was,saw,full_reversal
45,rweard,reward,internal_reversal
46,on,no,full_reversal
47,no,on,full_reversal
48,rewrad,reward,internal_reversal
49,dog,god,full_reversal
50,pat,tap,full_reversal
51,was,saw,full_reversal
52,step,pets,full_reversal
53,drawer,reward,full_reversal
54,no,on,full_reversal
55,reward,drawer,full_reversal
56,tap,pat,full_reversal
57,drawer,reward,full_reversal
58,no,on,full_reversal
59,step,pets,full_reversal
60,pat,tap,full_reversal
61,god,dog,full_reversal
62,pat,tap,full_reversal
63,pets,step,full_reversal
64,lopo,loop,internal_reversal
65,pest,pets,internal_reversal
66,was,saw,full_reversal
67,dog,god,full_reversal
68,step,pets,full_reversal
69,darwer,drawer,internal_reversal
70,god,dog,full_reversal
71,on,no,full_reversal
72,reward,drawer,full_reversal
73,pat,tap,full_reversal
74,pat,tap,full_reversal
75,god,dog,full_reversal
76,stpe,step,internal_reversal
77,saw,was,full_reversal
78,polo,pool,internal_reversal
79,pets,step,full_reversal
80,was,saw,full_reversal
81,loop,pool,full_reversal
82,pest,pets,internal_reversal
83,pest,pets,internal_reversal
84,god,dog,full_reversal
85,pets,step,full_reversal
86,on,no,full_reversal
87,pest,pets,internal_reversal
88,drawer,reward,full_reversal
89,dog,god,full_reversal
90,lopo,loop,internal_reversal
91,polo,pool,internal_reversal
92,god,dog,full_reversal
93,drawer,reward,full_reversal
94,darwer,drawer,internal_reversal
95,lopo,loop,internal_reversal
96,on,no,full_reversal
97,on,no,full_reversal
98,no,on,full_reversal
99,was,saw,full_reversal
100,drawer,reward,full_reversal
101,drwaer,drawer,internal_reversal
102,on,no,full_reversal
103,drawer,reward,full_reversal
104,rweard,reward,internal_reversal
105,pat,tap,full_reversal
106,pool,loop,full_reversal
107,on,no,full_reversal
108,tap,pat,full_reversal
109,pat,tap,full_reversal
110,tap,pat,full_reversal
111,dog,god,full_reversal
112,draewr,drawer,internal_reversal
113,darwer,drawer,internal_reversal
114,pets,step,full_reversal
115,reawrd,reward,internal_reversal
116,rweard,reward,internal_reversal
117,setp,step,internal_reversal
118,pool,loop,full_reversal
119,reawrd,reward,internal_reversal
120,dog,god,full_reversal
121,loop,pool,full_reversal
122,no,on,full_reversal
123,loop,pool,full_reversal
124,was,saw,full_reversal
125,tap,pat,full_reversal
126,pool,loop,full_reversal
127,pest,pets,internal_reversal
128,saw,was,full_reversal
129,saw,was,full_reversal
130,ptes,pets,internal_reversal
131,pool,loop,full_reversal
132,lopo,loop,internal_reversal
133,dog,god,full_reversal
134,loop,pool,full_reversal
135,rweard,reward,internal_reversal
136,on,no,full_reversal
137,drawre,drawer,internal_reversal
138,on,no,full_reversal
139,pat,tap,full_reversal
140,polo,pool,internal_reversal
141,ptes,pets,internal_reversal
142,pat,tap,full_reversal
143,pat,tap,full_reversal
144,saw,was,full_reversal
145,loop,pool,full_reversal
146,reawrd,reward,internal_reversal
147,rewrad,reward,internal_reversal
148,drawer,reward,full_reversal
149,was,saw,full_reversal
150,step,pets,full_reversal
151,setp,step,internal_reversal
152,no,on,full_reversal
153,no,on,full_reversal
154,tap,pat,full_reversal
155,loop,pool,full_reversal
156,tap,pat,full_reversal
157,loop,pool,full_reversal
158,pool,loop,full_reversal
159,pest,pets,internal_reversal
160,pest,pets,internal_reversal
161,tap,pat,full_reversal
162,rweard,reward,internal_reversal
163,pat,tap,full_reversal
164,dog,god,full_reversal
165,saw,was,full_reversal
